"ID","BENEFITPLANID"," BENEFITPLANNAME ","BENEFITPLANVERSION ","BENEFITPLANEFFECTIVEDATE ","BENEFITPLANEXPIRATIONDATE"," CDTCODE  ","CDTDESCRIPTION","LIMITATIONS                              ","INNETWORKMEMBERRESPONSIBILITY","OUTOFNETWORKMEMBERRESPONSIBILITY","PREAUTHREQUIRED","DOCUMENTATION X-RAYS REQUIRED","PEDIATRIC COPAY","ADULT COPAY","PEDIATRIC LIMITATION","ADULT LIMITATION","AI/AN PROVIDER MEMBER RESPONSIBILITY"," NON AI/AN PROVIDER MEMBER RESPONSIBILITY","MEMBER COPAYMENT GENERAL  ","MEMBER COPAYMENT  SPECIALIST","AGE LIMIT","STATUS"
"a006s000000qF9sAAE","2511","Allwell HMO DSNP - 20","1","1/1/2020","12/31/9999","D0160","Oral evaluation, problem focused","2 of (D0160-D0180) every calendar year","","","","","","","","","","","","","","Item Created"
"a006s000000qF9tAAE","2511","Allwell HMO DSNP - 20","1","1/1/2020","12/31/9999","D0170","Re-evaluation, limited, problem focused","2 of (D0160-D0180) every calendar year","","","","","","","","","","","","","","Item Created"
"a006s000000qF9uAAE","2511","Allwell HMO DSNP - 20","1","1/1/2020","12/31/9999","D0171","Re-evaluation, post operative office visit","2 of (D0160-D0180) every calendar year","","","","","","","","","","","","","","Item Created"
"a006s000000qF9vAAE","2511","Allwell HMO DSNP - 20","1","1/1/2020","12/31/9999","D0180","Comprehensive periodontal evaluation","2 of (D0160-D0180) every calendar year","","","","","","","","","","","","","","Item Created"
"a006s000000qF9wAAE","2511","Allwell HMO DSNP - 20","1","1/1/2020","12/31/9999","D0240","Intraoral, occlusal radiographic image","1 (D0240) every calendar year","","","","","","","","","","","","","","Item Created"
"a006s000000qF9xAAE","2511","Allwell HMO DSNP - 20","1","1/1/2020","12/31/9999","D0250","Extra-oral 2D projection radiographic image, stationary radiation source","1 (D0250) every calendar year","","","","","","","","","","","","","","Item Created"
"a006s000000qF9yAAE","2511","Allwell HMO DSNP - 20","1","1/1/2020","12/31/9999","D0251","Extra-oral posterior dental radiographic image","1 (D0251) every calendar year","","","","","","","","","","","","","","Item Created"
"a006s000000qF9zAAE","2511","Allwell HMO DSNP - 20","1","1/1/2020","12/31/9999","D0270","Bitewing, single radiographic image","1 of (D0270, D0273) every calendar year","","","","","","","","","","","","","","Item Created"
"a006s000000qFA0AAM","2511","Allwell HMO DSNP - 20","1","1/1/2020","12/31/9999","D0273","Bitewings, three radiographic images","1 of (D0270, D0273) every calendar year","","","","","","","","","","","","","","Item Created"
"a006s000000qFA1AAM","2511","Allwell HMO DSNP - 20","1","1/1/2020","12/31/9999","D0277","Vertical bitewings, 7 to 8 radiographic images","1 (D0277) every 3 calendar years","","","","","","","","","","","","","","Item Created"
"a006s000000qFA2AAM","2511","Allwell HMO DSNP - 20","1","1/1/2020","12/31/9999","D1208","Topical application of fluoride, excluding varnish","2 (D1208) every calendar year","","","","","","","","","","","","","","Item Created"
"a006s000000qFA3AAM","2511","Allwell HMO DSNP - 20","1","1/1/2020","12/31/9999","D2740","Crown, porcelain/ceramic","","","","","","","","","","","","","","","Item Created"
"a006s000000qFA4AAM","2511","Allwell HMO DSNP - 20","1","1/1/2020","12/31/9999","D2750","Crown, porcelain fused to high noble metal","","","","","","","","","","","","","","","Item Created"
"a006s000000qFA5AAM","2511","Allwell HMO DSNP - 20","1","1/1/2020","12/31/9999","D2751","Crown, porcelain fused to predominantly base metal","","","","","","","","","","","","","","","Item Created"
"a006s000000qFA6AAM","2511","Allwell HMO DSNP - 20","1","1/1/2020","12/31/9999","D2752","Crown, porcelain fused to noble metal","","","","","","","","","","","","","","","Item Created"
"a006s000000qFA7AAM","2511","Allwell HMO DSNP - 20","1","1/1/2020","12/31/9999","D2790","Crown, full cast high noble metal","","","","","","","","","","","","","","","Item Created"
"a006s000000qFA8AAM","2511","Allwell HMO DSNP - 20","1","1/1/2020","12/31/9999","D2791","Crown, full cast predominantly base metal","","","","","","","","","","","","","","","Item Created"
"a006s000000qFA9AAM","2511","Allwell HMO DSNP - 20","1","1/1/2020","12/31/9999","D2792","Crown, full cast noble metal","","","","","","","","","","","","","","","Item Created"
"a006s000000qFAAAA2","2511","Allwell HMO DSNP - 20","1","1/1/2020","12/31/9999","D2910","Re-cement or re-bond inlay, onlay, veneer, or partial coverage","1 of (D2910, D2920) per tooth every calendar year","","","","","","","","","","","","","","Item Created"
"a006s000000qFABAA2","2511","Allwell HMO DSNP - 20","1","1/1/2020","12/31/9999","D2915","Re-cement or re-bond indirectly fabricated/prefabricated post & core","1 (D2915) per tooth every calendar year","","","","","","","","","","","","","","Item Created"
"a006s000000qFACAA2","2511","Allwell HMO DSNP - 20","1","1/1/2020","12/31/9999","D2920","Re-cement or re-bond crown","1 of (D2910, D2920) per tooth every calendar year","","","","","","","","","","","","","","Item Created"
"a006s000000qFADAA2","2511","Allwell HMO DSNP - 20","1","1/1/2020","12/31/9999","D2940","Protective restoration","","","","","","","","","","","","","","","Item Created"
"a006s000000qFAEAA2","2511","Allwell HMO DSNP - 20","1","1/1/2020","12/31/9999","D2950","Core buildup, including any pins when required ","","","","","","","","","","","","","","","Item Created"
"a006s000000qFAFAA2","2511","Allwell HMO DSNP - 20","1","1/1/2020","12/31/9999","D2951","Pin retention, per tooth, in addition to restoration","","","","","","","","","","","","","","","Item Created"
"a006s000000qFAGAA2","2511","Allwell HMO DSNP - 20","1","1/1/2020","12/31/9999","D2952","Post and core in addition to crown, indirectly fabricated","","","","","","","","","","","","","","","Item Created"
"a006s000000qFAHAA2","2511","Allwell HMO DSNP - 20","1","1/1/2020","12/31/9999","D2954","Prefabricated post and core in addition to crown","","","","","","","","","","","","","","","Item Created"
"a006s000000qFAIAA2","2511","Allwell HMO DSNP - 20","1","1/1/2020","12/31/9999","D2955","Post removal","","","","","","","","","","","","","","","Item Created"
"a006s000000qFAJAA2","2511","Allwell HMO DSNP - 20","1","1/1/2020","12/31/9999","D3110","Pulp cap, direct (excluding final restoration)","1 of (D3110, D3120) per tooth in a lifetime","","","","","","","","","","","","","","Item Created"
"a006s000000qFAKAA2","2511","Allwell HMO DSNP - 20","1","1/1/2020","12/31/9999","D3120","Pulp cap, indirect (excluding final restoration)","1 of (D3110, D3120) per tooth in a lifetime","","","","","","","","","","","","","","Item Created"
"a006s000000qFALAA2","2511","Allwell HMO DSNP - 20","1","1/1/2020","12/31/9999","D3220","Therapeutic pulpotomy (excluding final restoration)","","","","","","","","","","","","","","","Item Created"
"a006s000000qFAMAA2","2511","Allwell HMO DSNP - 20","1","1/1/2020","12/31/9999","D3221","Pulpal debridement, primary and permanent teeth","1 (D3221) per tooth in a lifetime","","","","","","","","","","","","","","Item Created"
"a006s000000qFANAA2","2511","Allwell HMO DSNP - 20","1","1/1/2020","12/31/9999","D3310","Endodontic therapy, anterior tooth (excluding final restoration)","1 of (D3310-D3330) per tooth in a lifetime","","","","","","","","","","","","","","Item Created"
"a006s000000qFAOAA2","2511","Allwell HMO DSNP - 20","1","1/1/2020","12/31/9999","D3320","Endodontic therapy, premolar tooth (excluding final restoration)","1 of (D3310-D3330) per tooth in a lifetime","","","","","","","","","","","","","","Item Created"
"a006s000000qFAPAA2","2511","Allwell HMO DSNP - 20","1","1/1/2020","12/31/9999","D3330","Endodontic therapy, molar tooth (excluding final restoration)","1 of (D3310-D3330) per tooth in a lifetime","","","","","","","","","","","","","","Item Created"
"a006s000000qFAQAA2","2511","Allwell HMO DSNP - 20","1","1/1/2020","12/31/9999","D3346","Retreatment of previous root canal therapy, anterior","1 of (D3346-D3348) per tooth in a lifetime","","","","","","","","","","","","","","Item Created"
"a006s000000qFARAA2","2511","Allwell HMO DSNP - 20","1","1/1/2020","12/31/9999","D3347","Retreatment of previous root canal therapy, premolar","1 of (D3346-D3348) per tooth in a lifetime","","","","","","","","","","","","","","Item Created"
"a006s000000qFASAA2","2511","Allwell HMO DSNP - 20","1","1/1/2020","12/31/9999","D3348","Retreatment of previous root canal therapy, molar","1 of (D3346-D3348) per tooth in a lifetime","","","","","","","","","","","","","","Item Created"
"a006s000000qFATAA2","2511","Allwell HMO DSNP - 20","1","1/1/2020","12/31/9999","D3351","Apexification/recalcification, initial visit","1 (D3351) per tooth in a lifetime","","","","","","","","","","","","","","Item Created"
"a006s000000qFAUAA2","2511","Allwell HMO DSNP - 20","1","1/1/2020","12/31/9999","D3352","Apexification/recalcification, interim medication replacement","1 (D3352) per tooth in a lifetime","","","","","","","","","","","","","","Item Created"
"a006s000000qFAVAA2","2511","Allwell HMO DSNP - 20","1","1/1/2020","12/31/9999","D3353","Apexification/recalcification, final visit","1 (D3353) per tooth in a lifetime","","","","","","","","","","","","","","Item Created"
"a006s000000qFAWAA2","2511","Allwell HMO DSNP - 20","1","1/1/2020","12/31/9999","D3410","Apicoectomy, anterior","1 of (D3410-D3425) per tooth in a lifetime","","","","","","","","","","","","","","Item Created"
"a006s000000qFAXAA2","2511","Allwell HMO DSNP - 20","1","1/1/2020","12/31/9999","D3421","Apicoectomy, premolar (first root)","1 of (D3410-D3425) per tooth in a lifetime","","","","","","","","","","","","","","Item Created"
"a006s000000qFAYAA2","2511","Allwell HMO DSNP - 20","1","1/1/2020","12/31/9999","D3425","Apicoectomy, molar (first root)","1 of (D3410-D3425) per tooth in a lifetime","","","","","","","","","","","","","","Item Created"
"a006s000000qFAZAA2","2511","Allwell HMO DSNP - 20","1","1/1/2020","12/31/9999","D3430","Retrograde filling, per root","1 (D3430) per tooth in a lifetime","","","","","","","","","","","","","","Item Created"
"a006s000000qFAaAAM","2511","Allwell HMO DSNP - 20","1","1/1/2020","12/31/9999","D3450","Root amputation, per root","1 (D3450) per tooth in a lifetime","","","","","","","","","","","","","","Item Created"
"a006s000000qFAbAAM","2511","Allwell HMO DSNP - 20","1","1/1/2020","12/31/9999","D3920","Hemisection, not including root canal therapy","1 (D3920) per tooth in a lifetime","","","","","","","","","","","","","","Item Created"
"a006s000000qFAcAAM","2511","Allwell HMO DSNP - 20","1","1/1/2020","12/31/9999","D4210","Gingivectomy or gingivoplasty, four or more teeth per quadrant","1 of (D4210-D4241) per site/quad every 2 calendar years","","","","","","","","","","","","","","Item Created"
"a006s000000qFAdAAM","2511","Allwell HMO DSNP - 20","1","1/1/2020","12/31/9999","D4211","Gingivectomy or gingivoplasty, one to three teeth per quadrant","1 of (D4210-D4241) per site/quad every 2 calendar years","","","","","","","","","","","","","","Item Created"
"a006s000000qFAeAAM","2511","Allwell HMO DSNP - 20","1","1/1/2020","12/31/9999","D4240","Gingival flap procedure, four or more teeth per quadrant","1 of (D4210-D4241) per site/quad every 2 calendar years","","","","","","","","","","","","","","Item Created"
"a006s000000qFAfAAM","2511","Allwell HMO DSNP - 20","1","1/1/2020","12/31/9999","D4241","Gingival flap procedure, one to three teeth per quadrant","1 of (D4210-D4241) per site/quad every 2 calendar years","","","","","","","","","","","","","","Item Created"
"a006s000000qFAgAAM","2511","Allwell HMO DSNP - 20","1","1/1/2020","12/31/9999","D4260","Osseous surgery, four or more teeth per quadrant","1 of (D4260, D4261) per site/quad every 2 calendar years","","","","","","","","","","","","","","Item Created"
"a006s000000qFAhAAM","2511","Allwell HMO DSNP - 20","1","1/1/2020","12/31/9999","D4261","Osseous surgery, one to three teeth per quadrant","1 of (D4260, D4261) per site/quad every 2 calendar years","","","","","","","","","","","","","","Item Created"
"a006s000000qFAiAAM","2511","Allwell HMO DSNP - 20","1","1/1/2020","12/31/9999","D4270","Pedicle soft tissue graft procedure","1 of (D4270-D4285) per site/quad every 2 calendar years","","","","","","","","","","","","","","Item Created"
"a006s000000qFAjAAM","2511","Allwell HMO DSNP - 20","1","1/1/2020","12/31/9999","D4273","Autogenous connective tissue graft procedure, first tooth","1 of (D4270-D4285) per site/quad every 2 calendar years","","","","","","","","","","","","","","Item Created"
"a006s000000qFAkAAM","2511","Allwell HMO DSNP - 20","1","1/1/2020","12/31/9999","D4275","Non-autogenous connective tissue graft, first tooth","1 of (D4270-D4285) per site/quad every 2 calendar years","","","","","","","","","","","","","","Item Created"
"a006s000000qFAlAAM","2511","Allwell HMO DSNP - 20","1","1/1/2020","12/31/9999","D4283","Autogenous connective tissue graft procedure, each additional tooth, per site","1 of (D4270-D4285) per site/quad every 2 calendar years","","","","","","","","","","","","","","Item Created"
"a006s000000qFAmAAM","2511","Allwell HMO DSNP - 20","1","1/1/2020","12/31/9999","D4285","Non-autogenous connective tissue graft procedure, each additional tooth, per site","1 of (D4270-D4285) per site/quad every 2 calendar years","","","","","","","","","","","","","","Item Created"
"a006s000000qFAnAAM","2511","Allwell HMO DSNP - 20","1","1/1/2020","12/31/9999","D4341","Periodontal scaling and root planing, four or more teeth per quadrant","1 of (D4341, D4342) per site/quad every 2 calendar years","","","","","","","","","","","","","","Item Created"
"a006s000000qFAoAAM","2511","Allwell HMO DSNP - 20","1","1/1/2020","12/31/9999","D4342","Periodontal scaling and root planing, one to three teeth per quadrant","1 of (D4341, D4342) per site/quad every 2 calendar years","","","","","","","","","","","","","","Item Created"
"a006s000000qFApAAM","2511","Allwell HMO DSNP - 20","1","1/1/2020","12/31/9999","D4346","Scaling in presence of moderate or severe inflammation, full mouth after evaluation","2 of (D4346, D4910) every calendar year","","","","","","","","","","","","","","Item Created"
"a006s000000qFAqAAM","2511","Allwell HMO DSNP - 20","1","1/1/2020","12/31/9999","D4355","Full mouth debridement to enable comprehensive evaluation and diagnosis, subsequent visit","1 (D4355) every 3 calendar years","","","","","","","","","","","","","","Item Created"
